phase	pod	status	restarts	node
pre_steady	user-db-vrev1-ctr-5dbc47b8cb-9c9nz	Running	0	node-8
pre_steady	user-service-vrev1-ctr-788cc57598-ddjnb	Running	0	node-8
pre_steady	userid-service-vrev1-ctr-6455446bc4-xwr8d	Running	0	node-5
pre_steady	usermention-service-vrev1-ctr-dc6fd6ddc-xhkcr	Running	0	node-3
pre_steady	usertimeline-cache-vrev1-ctr-5ff57cc464-pn97t	Running	0	node-4
pre_steady	usertimeline-db-vrev1-ctr-8699f86cf5-z45fb	Running	0	node-4
pre_steady	usertimeline-service-vrev1-ctr-64494fbc5f-4dcdt	Running	0	node-4
pre_steady	wrk2api-service-vrev1-ctr-4hstg	Running	0	node-5
pre_steady	wrk2api-service-vrev1-ctr-7rfdn	Running	0	node-6
pre_steady	wrk2api-service-vrev1-ctr-h8zt7	Running	0	node-3
pre_steady	wrk2api-service-vrev1-ctr-hfq77	Running	0	node-9
pre_steady	wrk2api-service-vrev1-ctr-hqkm2	Running	0	node-7
pre_steady	wrk2api-service-vrev1-ctr-jthwd	Running	0	node-2
pre_steady	wrk2api-service-vrev1-ctr-lsw6m	Running	0	node-4
pre_steady	wrk2api-service-vrev1-ctr-qqnb8	Running	0	node-1
pre_steady	wrk2api-service-vrev1-ctr-skw8k	Running	0	node-8
post_steady	composepost-service-vrev1-ctr-7776bbb96d-j6trg	Running	0	node-1
post_steady	hometimeline-cache-vrev1-ctr-cf8bf45cc-4jl9b	Running	0	node-1
post_steady	hometimeline-service-vrev1-ctr-6c9775f485-rhxb2	Running	0	node-1
post_steady	jaeger-vrev1-ctr-56bd57fbd6-jckdc	Running	0	node-9
post_steady	jaeger-vrev1-ctr-7d5dc46594-w4vsh	Pending	0	<none>
post_steady	media-service-vrev1-ctr-b876c4f6d-tqzlv	Running	0	node-5
post_steady	otelcol-vrev1-ctr-2ttdd	Running	0	node-2
post_steady	otelcol-vrev1-ctr-2wk9x	Running	0	node-6
post_steady	otelcol-vrev1-ctr-4lhlj	Running	0	node-8
post_steady	otelcol-vrev1-ctr-554d9	Running	0	node-7
post_steady	otelcol-vrev1-ctr-8zb2c	Running	0	node-5
post_steady	otelcol-vrev1-ctr-c7gg2	Running	0	node-4
post_steady	otelcol-vrev1-ctr-chfft	Running	0	node-1
post_steady	otelcol-vrev1-ctr-hqzkz	Running	0	node-9
post_steady	otelcol-vrev1-ctr-r78c2	Running	0	node-3
post_steady	post-cache-vrev1-ctr-b9dc74888-dqr82	Running	0	node-6
post_steady	post-db-vrev1-ctr-6c6dbb6df5-z4s5l	Running	0	node-6
post_steady	post-storage-service-vrev1-ctr-959f4ff7-82csn	Running	0	node-6
post_steady	social-cache-vrev1-ctr-76d6bdc48f-tp867	Running	0	node-2
post_steady	social-db-vrev1-ctr-6b88bf776d-lwbss	Running	0	node-2
post_steady	socialgraph-service-vrev1-ctr-6fd7c8d78-zst2r	Running	0	node-2
post_steady	text-service-vrev1-ctr-77bb8c98dc-hvczg	Running	0	node-5
post_steady	tracepressure-service-vrev1-ctr-5cq8z	Running	0	node-6
post_steady	tracepressure-service-vrev1-ctr-7gzjz	Running	0	node-8
post_steady	tracepressure-service-vrev1-ctr-84bhf	Running	0	node-3
post_steady	tracepressure-service-vrev1-ctr-8g5pd	Running	0	node-5
post_steady	tracepressure-service-vrev1-ctr-f7wx2	Running	0	node-1
post_steady	tracepressure-service-vrev1-ctr-fnw2f	Running	0	node-7
post_steady	tracepressure-service-vrev1-ctr-fw9vr	Running	0	node-2
post_steady	tracepressure-service-vrev1-ctr-jfm6s	Running	0	node-9
post_steady	tracepressure-service-vrev1-ctr-lgcmp	Running	0	node-4
post_steady	uniqueid-service-vrev1-ctr-77747957b4-59gd4	Running	0	node-3
post_steady	urlshorten-db-vrev1-ctr-78c9f5d5fb-5p5m5	Running	0	node-7
post_steady	urlshorten-service-vrev1-ctr-54fb6466f7-p2mlb	Running	0	node-7
post_steady	user-cache-vrev1-ctr-59444c4559-sjfds	Running	0	node-8
post_steady	user-db-vrev1-ctr-5dbc47b8cb-9c9nz	Running	0	node-8
post_steady	user-service-vrev1-ctr-788cc57598-ddjnb	Running	0	node-8
post_steady	userid-service-vrev1-ctr-6455446bc4-xwr8d	Running	0	node-5
post_steady	usermention-service-vrev1-ctr-dc6fd6ddc-xhkcr	Running	0	node-3
post_steady	usertimeline-cache-vrev1-ctr-5ff57cc464-pn97t	Running	0	node-4
post_steady	usertimeline-db-vrev1-ctr-8699f86cf5-z45fb	Running	0	node-4
post_steady	usertimeline-service-vrev1-ctr-64494fbc5f-4dcdt	Running	0	node-4
post_steady	wrk2api-service-vrev1-ctr-4hstg	Running	0	node-5
post_steady	wrk2api-service-vrev1-ctr-7rfdn	Running	0	node-6
post_steady	wrk2api-service-vrev1-ctr-h8zt7	Running	0	node-3
post_steady	wrk2api-service-vrev1-ctr-hfq77	Running	0	node-9
post_steady	wrk2api-service-vrev1-ctr-hqkm2	Running	0	node-7
post_steady	wrk2api-service-vrev1-ctr-jthwd	Running	0	node-2
post_steady	wrk2api-service-vrev1-ctr-lsw6m	Running	0	node-4
post_steady	wrk2api-service-vrev1-ctr-qqnb8	Running	0	node-1
post_steady	wrk2api-service-vrev1-ctr-skw8k	Running	0	node-8
